disease_name,symptoms,description,treatment,prevention,class
Anthracnose,Dark spots on leaves and fruits with pink spore masses,Fungal disease causing dark lesions on leaves fruits and twigs,Apply copper-based fungicides and remove infected plant parts,Ensure good air circulation and avoid overhead watering,0
Anthracnose,Brown irregular spots with yellow halos on leaves,Common fungal infection in humid conditions,Use systemic fungicides during rainy season,Prune affected branches and improve drainage,0
Anthracnose,Black sunken lesions on mature fruits,Post-harvest fungal disease affecting fruit quality,Apply preventive fungicide sprays before harvest,Store fruits in cool dry conditions,0
Anthracnose,Leaf blight with brown margins and shot holes,Advanced stage of fungal infection,Remove all infected debris and apply fungicide,Space plants properly for air circulation,0
Anthracnose,Pink to orange spore masses on infected areas,Visible fungal sporulation in humid weather,Apply copper sulfate or mancozeb fungicide,Avoid working with wet plants,0
Anthracnose,Premature leaf drop with brown spots,Severe infection causing defoliation,Use resistant varieties and fungicide program,Monitor weather conditions for spray timing,0
Anthracnose,Twig dieback starting from tips,Fungal infection spreading through vascular system,Prune infected twigs and apply wound dressing,Maintain plant health with proper nutrition,0
Anthracnose,Fruit rot starting from stem end,Post-bloom infection affecting developing fruits,Apply fungicides during flowering period,Remove mummified fruits from tree,0
Anthracnose,Water-soaked lesions turning brown,Initial symptoms of fungal infection,Start fungicide treatment immediately,Avoid overhead irrigation,0
Anthracnose,Circular spots with concentric rings,Characteristic symptom of anthracnose fungus,Apply protective fungicides regularly,Use drip irrigation instead of sprinklers,0
Anthracnose,Yellowing leaves with brown spots,Nutrient deficiency combined with fungal stress,Apply balanced fertilizer with fungicide treatment,Test soil for nutrient levels,0
Anthracnose,Flower blight causing fruit set failure,Infection affecting reproductive parts,Spray fungicides during pre-bloom period,Maintain optimal humidity levels,0
Anthracnose,Stem cankers with gum exudation,Severe infection affecting main branches,Prune affected areas and apply copper paste,Avoid mechanical injuries to plants,0
Anthracnose,Leaf spots enlarging during rainy weather,Weather-dependent disease progression,Time fungicide applications with weather forecasts,Improve field drainage,0
Anthracnose,Dark streaks on leaf veins,Vascular infection spreading through leaf tissue,Use systemic fungicides for better control,Select disease-resistant cultivars,0
Anthracnose,Fruit scarring affecting marketability,Cosmetic damage reducing commercial value,Apply protective sprays during fruit development,Harvest at optimal maturity,0
Anthracnose,Seedling damping off in nursery,Young plant mortality due to soil-borne fungus,Use sterilized potting mix and fungicide drenches,Ensure proper drainage in seedbeds,0
Anthracnose,Leaf chlorosis with necrotic spots,Combined symptoms of nutrient stress and disease,Apply foliar fertilizers with fungicide,Monitor plant nutrition status,0
Anthracnose,Branch cankers causing limb breakage,Structural damage due to severe infection,Remove affected limbs and sterilize pruning tools,Train trees for strong branch angles,0
Anthracnose,Fruit splitting with fungal growth,Secondary infection through mechanical cracks,Handle fruits carefully during harvest,Apply calcium supplements to reduce cracking,0
Bacterial Canker,Water-soaked lesions on leaves turning brown,Bacterial infection spreading through water,Apply copper-based bactericides,Avoid overhead watering and improve drainage,1
Bacterial Canker,Sunken cankers on stems with gum oozing,Bacterial infection causing tissue death,Prune infected areas and apply copper compounds,Sterilize pruning tools between cuts,1
Bacterial Canker,Yellow halos around leaf spots,Characteristic bacterial infection symptom,Use streptomycin or copper sulfate sprays,Remove infected plant debris,1
Bacterial Canker,Fruit spots with raised margins,Bacterial contamination affecting fruit quality,Apply preventive bactericide sprays,Practice good field sanitation,1
Bacterial Canker,Leaf wilting despite adequate moisture,Vascular bacterial infection blocking water flow,Remove infected plants to prevent spread,Use certified disease-free planting material,1
Bacterial Canker,Brown streaks in vascular tissue,Internal bacterial infection affecting transport,Apply systemic bactericides if available,Test irrigation water for bacterial contamination,1
Bacterial Canker,Premature fruit drop from infected trees,Bacterial toxins affecting fruit attachment,Spray copper compounds during fruit development,Maintain optimal plant nutrition,1
Bacterial Canker,Twig dieback with bacterial ooze,Progressive branch death from bacterial infection,Cut back to healthy tissue and treat wounds,Avoid high nitrogen fertilization,1
Bacterial Canker,Leaf scorch symptoms in hot weather,Bacterial blockage reducing water uptake,Provide adequate irrigation and shade,Use reflective mulches to reduce heat stress,1
Bacterial Canker,Black streaks on fruit surface,Surface bacterial contamination,Wash fruits with chlorinated water,Maintain clean harvest containers,1
